x-axis	Total diffraction	Diffraction pattern	Interference pattern	From Camera	
-0,012778	0,001165	0,042246	0,027563	0,025075	
-0,012740	0,000567	0,042631	0,013296	0,024920	
-0,012703	0,000178	0,043002	0,004134	0,015409	
-0,012665	0,000007	0,043360	0,000172	0,015193	
-0,012628	0,000064	0,043703	0,001452	0,016737	
-0,012590	0,000351	0,044033	0,007961	0,022450	
-0,012552	0,000871	0,044348	0,019630	0,013001	
-0,012515	0,001623	0,044647	0,036338	0,015224	
-0,012477	0,002604	0,044932	0,057908	0,012229	
-0,012440	0,003805	0,045201	0,084115	0,017355	
-0,012402	0,005216	0,045454	0,114684	0,011580	
-0,012365	0,006826	0,045691	0,149294	0,012908	
-0,012327	0,008618	0,045912	0,187582	0,012599	
-0,012290	0,010574	0,046116	0,229147	0,020721	
-0,012252	0,012674	0,046303	0,273553	0,013495	
-0,012215	0,014896	0,046472	0,320334	0,018096	
-0,012177	0,017215	0,046625	0,369000	0,017911	
-0,012140	0,019606	0,046759	0,419039	0,026279	
-0,012102	0,022042	0,046876	0,469928	0,020875	
-0,012065	0,024496	0,046975	0,521132	0,025600	
-0,012027	0,026938	0,047055	0,572115	0,021493	
-0,011990	0,029342	0,047117	0,622342	0,026279	
-0,011952	0,031678	0,047161	0,671286	0,028873	
-0,011915	0,033921	0,047185	0,718433	0,041040	
-0,011877	0,036043	0,047191	0,763290	0,042924	
-0,011839	0,038020	0,047178	0,805385	0,051200	
-0,011802	0,039829	0,047145	0,844278	0,048637	
-0,011764	0,041448	0,047094	0,879559	0,056202	
-0,011727	0,042858	0,047023	0,910860	0,054998	
-0,011689	0,044044	0,046932	0,937852	0,066516	
-0,011652	0,044990	0,046823	0,960252	0,067721	
-0,011614	0,045687	0,046693	0,977825	0,081061	
-0,011577	0,046127	0,046545	0,990386	0,083037	
-0,011539	0,046304	0,046377	0,997803	0,098107	
-0,011502	0,046218	0,046189	1,000000	0,097520	
-0,011464	0,045871	0,045982	0,996953	0,107062	
-0,011427	0,045267	0,045755	0,988693	0,100763	
-0,011389	0,044414	0,045509	0,975308	0,101072	
-0,011352	0,043324	0,045244	0,956937	0,094525	
-0,011314	0,042009	0,044960	0,933774	0,110675	
-0,011277	0,040487	0,044656	0,906061	0,109347	
-0,011239	0,038777	0,044334	0,874090	0,117438	
-0,011202	0,036898	0,043993	0,838194	0,119569	
-0,011164	0,034874	0,043633	0,798752	0,127783	
-0,011126	0,032729	0,043255	0,756176	0,122379	
-0,011089	0,030488	0,042858	0,710913	0,132168	
-0,011051	0,028176	0,042443	0,663438	0,135225	
-0,011014	0,025821	0,042011	0,614249	0,150573	
-0,010976	0,023449	0,041560	0,563861	0,153939	
-0,010939	0,021086	0,041093	0,512804	0,147701	
-0,010901	0,018757	0,040608	0,461612	0,123645	
-0,010864	0,016487	0,040107	0,410823	0,129636	
-0,010826	0,014300	0,039589	0,360969	0,128555	
-0,010789	0,012216	0,039056	0,312574	0,130346	
-0,010751	0,010255	0,038506	0,266145	0,125838	
-0,010714	0,008435	0,037941	0,222168	0,130593	
-0,010676	0,006771	0,037361	0,181106	0,121545	
-0,010639	0,005275	0,036767	0,143389	0,119723	
-0,010601	0,003959	0,036158	0,109412	0,109378	
-0,010564	0,002828	0,035536	0,079532	0,102152	
-0,010526	0,001888	0,034901	0,054063	0,091931	
-0,010489	0,001140	0,034253	0,033271	0,097767	
-0,010451	0,000584	0,033592	0,017375	0,092425	
-0,010413	0,000215	0,032920	0,006542	0,088719	
-0,010376	0,000029	0,032237	0,000884	0,075039	
-0,010338	0,000015	0,031543	0,000462	0,072137	
-0,010301	0,000163	0,030839	0,005280	0,062656	
-0,010263	0,000461	0,030126	0,015287	0,059599	
-0,010226	0,000894	0,029404	0,030378	0,050088	
-0,010188	0,001446	0,028674	0,050396	0,049100	
-0,010151	0,002100	0,027936	0,075130	0,038261	
-0,010113	0,002838	0,027191	0,104321	0,033938	
-0,010076	0,003642	0,026440	0,137662	0,028564	
-0,010038	0,004492	0,025684	0,174804	0,033845	
-0,010001	0,005371	0,024922	0,215357	0,026465	
-0,009963	0,006258	0,024157	0,258897	0,024612	
-0,009926	0,007137	0,023388	0,304965	0,022296	
